Date,Open,High,Low,Close,Adj Close,Volume
1/2/2019,46.94,47.22,46.56,46.93,39.83,11603700
1/3/2019,46.82,47.37,46.53,46.64,39.58,14714400
1/4/2019,46.75,47.57,46.64,47.57,40.37,13013700
1/7/2019,47.57,47.75,46.9,46.95,39.85,13135500
1/8/2019,47.25,47.57,47.04,47.48,40.3,15420700
1/9/2019,47.08,47.28,46.43,46.57,39.52,18032500
1/10/2019,46.66,47.09,46.34,47.07,39.95,15976600
1/11/2019,47.29,47.36,46.97,47.34,40.18,11088600
1/14/2019,47.25,47.4,46.99,47.15,40.02,11514300
1/15/2019,46.89,47.6,46.81,47.57,40.37,11342900
1/16/2019,47.4,47.47,46.86,46.92,39.82,16907800
1/17/2019,46.92,47.14,46.88,47.06,39.94,12044600
1/18/2019,47.25,47.69,47.12,47.61,40.41,12760700
1/22/2019,47.7,47.79,47.21,47.72,40.5,11700400
1/23/2019,47.82,48.29,47.65,48.27,40.97,12058300
1/24/2019,48.11,48.11,47.38,47.69,40.47,10272000
1/25/2019,47.88,48.03,47.24,47.37,40.2,12066500
1/28/2019,47.22,47.3,46.94,47.17,40.03,9966900
1/29/2019,47.2,47.63,47.13,47.4,40.23,11998600
1/30/2019,47.25,47.89,47.19,47.86,40.62,12952500
1/31/2019,47.85,48.78,47.47,48.13,40.85,32181500
2/1/2019,48.48,48.78,48.4,48.7,41.33,19130100
2/4/2019,48.7,49.45,48.54,49.25,41.8,15105700
2/5/2019,49.33,49.47,49.1,49.26,41.81,12651900
2/6/2019,49.21,49.36,49.02,49.26,41.81,8689100
2/7/2019,49.17,49.46,49,49.42,41.94,10047800
2/8/2019,49.37,49.5,49.11,49.5,42.01,9813300
2/11/2019,49.57,49.88,49.48,49.61,42.1,9369300
2/12/2019,49.69,49.8,49.46,49.66,42.15,10983300
2/13/2019,49.61,49.94,49.56,49.79,42.26,12748800
2/14/2019,46.7,46.96,45.5,45.59,38.69,58905400
2/15/2019,45.9,46.26,45.2,45.24,38.39,35701600
2/19/2019,45.32,45.59,44.77,44.83,38.05,25511300
2/20/2019,44.91,45.24,44.8,45.1,38.28,27464000
2/21/2019,45,45.91,44.96,45.86,38.92,23121200
2/22/2019,45.76,45.95,45.2,45.28,38.43,24728400
2/25/2019,45.44,45.57,44.84,44.94,38.14,23774400
2/26/2019,45.1,45.14,44.66,44.69,37.93,20463200
2/27/2019,44.6,45.02,44.42,44.94,38.14,17827500
2/28/2019,45.12,45.61,45.11,45.34,38.48,22533900
3/1/2019,45.47,45.64,45.2,45.38,38.51,16291600
3/4/2019,45.53,45.67,45.3,45.65,38.74,15973800
3/5/2019,45.65,45.7,45.4,45.6,38.7,13062300
3/6/2019,45.67,45.79,45.44,45.45,38.57,14232100
3/7/2019,45.49,45.53,45.13,45.28,38.43,12084000
3/8/2019,45.15,45.25,44.61,44.84,38.06,15579100
3/11/2019,45.14,46.24,45.1,46.18,39.19,22126900
3/12/2019,45.95,46.25,45.9,46.05,39.08,19348500
3/13/2019,46.13,46.34,45.91,46.22,39.23,16222500
3/14/2019,45.84,46.11,45.63,45.7,39.12,18504100
3/15/2019,45.72,45.9,45.14,45.3,38.78,47254500
3/18/2019,45.43,45.68,45.36,45.41,38.88,24006400
3/19/2019,45.55,45.69,45.34,45.56,39,14987000
3/20/2019,45.4,45.9,45.18,45.53,38.98,13376100
3/21/2019,45.53,45.76,45.44,45.51,38.96,20043000
3/22/2019,45.46,46.11,45.46,45.93,39.32,19055900
3/25/2019,45.86,46.2,45.79,46.03,39.41,11668200
3/26/2019,46.17,46.79,46.17,46.64,39.93,11434900
3/27/2019,46.65,46.91,46.33,46.61,39.9,11543600
3/28/2019,46.68,46.92,46.48,46.58,39.88,11121100
3/29/2019,46.67,46.91,46.48,46.86,40.12,16045600
4/1/2019,46.99,47.17,46.59,46.72,40,11522700
4/2/2019,46.75,46.93,46.57,46.57,39.87,8495000
4/3/2019,46.42,46.59,46.04,46.18,39.53,12854500
4/4/2019,46.34,46.54,46.11,46.48,39.79,7814900
